,Feature name,Source,Unique count,Min,Max,Notes
682,host_verifications_list,flat_file_after_feature_enrichment,301,,,"{'smaple_values': [""['email', 'phone', 'reviews', 'jumio', 'government_id', 'photographer']"", ""['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'jumio', 'sent_id', 'government_id']"", ""['email', 'phone', 'facebook', 'reviews', 'manual_offline', 'offline_government_id', 'selfie', 'government_id', 'work_email']"", ""['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'jumio', 'government_id', 'work_email']"", ""['email', 'phone', 'facebook', 'reviews', 'kba']""], 'sum_of_na': 182, 'is_numeric': False, 'is_string': True, 'is_datetime': False}"
683,google,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
684,sent_id,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
685,jumio,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
686,email,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
687,manual_online,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
688,selfie,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
689,work_email,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
690,facebook,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
691,reviews,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
692,sesame_offline,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
693,identity_manual,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
694,weibo,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [1, 0], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
695,phone,flat_file_after_feature_enrichment,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
