,var1,var2,target,correlation_between_vars,pvalue_between_vars,correlation_var1_target,pvalue_var1_target,correlation_var2_target,pvalue_var2_target
709,cleaning_fee,review_scores_cleanliness,booked_up_target,0.09559502364242771,1.676088191913584e-255,-0.2349468508731146,0.0,-0.03818798720697684,3.342329599585784e-42
570,bathrooms,cleaning_fee,booked_up_target,0.09520654227995302,0.0,-0.028514003251293062,1.0051441188790907e-29,-0.2349468508731146,0.0
304,DaysPassed_last_review,DaysPassed_host_since,booked_up_target,0.09509311752943313,1.399447507639604e-259,0.32440865324759716,0.0,-0.07963508153886854,3.716141030266451e-220
44,occupancy_last_period,longitude,booked_up_target,0.09490869138818972,0.0,0.6967989683315049,0.0,0.09057324079234452,9.441376768393284e-285
822,review_scores_rating,target_num_of_booked_days,booked_up_target,0.09426849623004667,8.702170705189417e-249,0.10938167860611937,0.0,0.8003208263860638,0.0
823,review_scores_rating,num_of_booked_days_in_previous_period,booked_up_target,0.09418379994052035,2.424487457082645e-248,0.10938167860611937,0.0,0.6210093570040095,0.0
227,price,review_scores_location,booked_up_target,0.09339162883172693,1.2211270031128385e-243,-0.2053554322527973,0.0,0.0325555520224436,4.227559708986262e-31
642,square_feet,review_scores_location,booked_up_target,0.09302345602455939,4.495389347051996e-07,0.03708732291931967,0.038253134916969994,0.0325555520224436,4.227559708986262e-31
490,host_total_listings_count,security_deposit,booked_up_target,0.0921321793786852,2.8771136278409147e-294,-0.2675121518317726,0.0,-0.12932632736775485,0.0
277,number_of_reviews,beds,booked_up_target,0.09212994047194832,4.515921678760955e-294,-0.2729557845542424,0.0,-0.15576478758208406,0.0
34,target_avg_dollar_price_in_period,review_scores_location,booked_up_target,0.09017941301249248,2.3486546669342824e-69,,,0.0325555520224436,4.227559708986262e-31
785,availability_60,size,booked_up_target,0.08946002195397126,1.4267376648394408e-133,-0.4970063557162694,0.0,-0.10974459044601913,2.1892161157596222e-200
32,target_avg_dollar_price_in_period,review_scores_cleanliness,booked_up_target,0.08919062956023432,6.8110415784563964e-68,,,-0.03818798720697684,3.342329599585784e-42
690,security_deposit,availability_90,booked_up_target,0.08906043947262805,2.363224870390132e-275,-0.12932632736775485,0.0,-0.5596518136286611,0.0
476,host_response_rate,review_scores_checkin,booked_up_target,0.088960701708125,3.0348245778132e-106,0.05687099554886183,1.5078495060686141e-49,0.01783128387574471,2.139428127363775e-10
394,calculated_host_listings_count,size,booked_up_target,0.08876352916929242,1.5966449394355821e-131,-0.26858612155055434,0.0,-0.10974459044601913,2.1892161157596222e-200
598,bedrooms,DaysPassed_first_review,booked_up_target,0.08835237546567777,3.1762052518366457e-224,-0.07061960733809783,1.6117754842671819e-173,-0.10428161991573853,0.0
441,DaysPassed_host_since,extra_people,booked_up_target,0.08794360144663275,3.2814693847094983e-268,-0.07963508153886854,3.716141030266451e-220,-0.1755546907458696,0.0
377,calculated_host_listings_count,monthly_price,booked_up_target,0.08773795793798354,3.895942755002887e-33,-0.26858612155055434,0.0,-0.19150651222022122,3.0437457760240204e-153
378,calculated_host_listings_count,security_deposit,booked_up_target,0.08694385707502979,1.793083300620369e-262,-0.26858612155055434,0.0,-0.12932632736775485,0.0
107,avg_dollar_price_in_previous_period,extra_people,booked_up_target,0.08673959431948389,1.241693058637329e-130,-0.12045325898102326,7.034347248564516e-251,-0.1755546907458696,0.0
117,avg_dollar_price_in_previous_period,review_scores_location,booked_up_target,0.08631624812073203,2.6632449070035783e-112,-0.12045325898102326,7.034347248564516e-251,0.0325555520224436,4.227559708986262e-31
140,latitude,weekly_price,booked_up_target,0.08609736220120208,1.3547167157647686e-43,-0.02730292737089639,1.9950442431905413e-27,-0.18314289538626416,3.6048812875063117e-193
11,target_avg_dollar_price_in_period,host_response_rate,booked_up_target,0.08602211922823327,2.5124478300828353e-49,,,0.05687099554886183,1.5078495060686141e-49
85,avg_dollar_price_in_previous_period,latitude,booked_up_target,0.08492056585881812,2.8337349188080503e-125,-0.12045325898102326,7.034347248564516e-251,-0.02730292737089639,1.9950442431905413e-27
474,host_response_rate,review_scores_accuracy,booked_up_target,0.08276409562348944,3.346463458482912e-92,0.05687099554886183,1.5078495060686141e-49,0.05483275856550795,3.9137567294075893e-85
256,minimum_nights,review_scores_rating,booked_up_target,0.08246611900599655,1.0961033597718144e-190,-0.01939781383557405,1.2798160805315371e-14,0.10938167860611937,0.0
689,security_deposit,availability_60,booked_up_target,0.08234285166199136,1.4782827537041335e-235,-0.12932632736775485,0.0,-0.4970063557162694,0.0
141,latitude,monthly_price,booked_up_target,0.08141972083694754,9.39825609062069e-29,-0.02730292737089639,1.9950442431905413e-27,-0.19150651222022122,3.0437457760240204e-153
219,price,maximum_nights,booked_up_target,0.08120090350271308,4.176945792830633e-229,-0.2053554322527973,0.0,-0.071078975527342,6.683007734092576e-176
297,number_of_reviews,size,booked_up_target,0.08104343226078874,6.74329924727627e-110,-0.2729557845542424,0.0,-0.10974459044601913,2.1892161157596222e-200
571,bathrooms,guests_included,booked_up_target,0.08020726378780245,2.980183608048836e-223,-0.028514003251293062,1.0051441188790907e-29,-0.13652558379294602,0.0
739,extra_people,DaysPassed_first_review,booked_up_target,0.0788728218655088,4.5518318492831465e-179,-0.1755546907458696,0.0,-0.10428161991573853,0.0
